date,category_id,category_title,revenue
2023-09-01,1,Wine,147012672.0
2023-10-01,1,Wine,157561392.0
2023-11-01,1,Wine,136972048.0
2023-12-01,1,Wine,132655720.0
2024-01-01,1,Wine,125187672.0
2024-02-01,1,Wine,141940736.0
2024-03-01,1,Wine,150248160.0
2024-04-01,1,Wine,146508176.0
2024-05-01,1,Wine,141640416.0
2024-06-01,1,Wine,141371696.0
2024-07-01,1,Wine,126385936.0
2024-08-01,1,Wine,138557776.0
2024-09-01,1,Wine,144665296.0
2024-10-01,1,Wine,134107576.0
2024-11-01,1,Wine,124420392.0
2024-12-01,1,Wine,124287168.0
2025-01-01,1,Wine,129104704.0
2025-02-01,1,Wine,135661408.0
2023-09-01,2,Champagne & Sparkling Wine,169933328.0
2023-10-01,2,Champagne & Sparkling Wine,187943024.0
2023-11-01,2,Champagne & Sparkling Wine,159109760.0
2023-12-01,2,Champagne & Sparkling Wine,186650080.0
2024-01-01,2,Champagne & Sparkling Wine,197577536.0
2024-02-01,2,Champagne & Sparkling Wine,167607888.0
2024-03-01,2,Champagne & Sparkling Wine,185806672.0
2024-04-01,2,Champagne & Sparkling Wine,178141968.0
2024-05-01,2,Champagne & Sparkling Wine,165908496.0
2024-06-01,2,Champagne & Sparkling Wine,175715072.0
2024-07-01,2,Champagne & Sparkling Wine,182231936.0
2024-08-01,2,Champagne & Sparkling Wine,171019664.0
2024-09-01,2,Champagne & Sparkling Wine,166290496.0
2024-10-01,2,Champagne & Sparkling Wine,167243360.0
2024-11-01,2,Champagne & Sparkling Wine,174711392.0
2024-12-01,2,Champagne & Sparkling Wine,176232192.0
2025-01-01,2,Champagne & Sparkling Wine,185915040.0
2025-02-01,2,Champagne & Sparkling Wine,163161344.0
2023-09-01,3,Whiskey,641509888.0
2023-10-01,3,Whiskey,618017728.0
2023-11-01,3,Whiskey,659305984.0
2023-12-01,3,Whiskey,631478272.0
2024-01-01,3,Whiskey,642371072.0
2024-02-01,3,Whiskey,629553024.0
2024-03-01,3,Whiskey,544245632.0
2024-04-01,3,Whiskey,586190656.0
2024-05-01,3,Whiskey,551763392.0
2024-06-01,3,Whiskey,584714688.0
2024-07-01,3,Whiskey,588530368.0
2024-08-01,3,Whiskey,586073728.0
2024-09-01,3,Whiskey,589543104.0
2024-10-01,3,Whiskey,593543808.0
2024-11-01,3,Whiskey,585669888.0
2024-12-01,3,Whiskey,589040640.0
2025-01-01,3,Whiskey,634638016.0
2025-02-01,3,Whiskey,602591936.0
2023-09-01,4,Cognac & Brandy,101611496.0
2023-10-01,4,Cognac & Brandy,102901504.0
2023-11-01,4,Cognac & Brandy,106765352.0
2023-12-01,4,Cognac & Brandy,109157872.0
2024-01-01,4,Cognac & Brandy,108210544.0
2024-02-01,4,Cognac & Brandy,127069800.0
2024-03-01,4,Cognac & Brandy,113680840.0
2024-04-01,4,Cognac & Brandy,133134176.0
2024-05-01,4,Cognac & Brandy,109152512.0
2024-06-01,4,Cognac & Brandy,128587968.0
2024-07-01,4,Cognac & Brandy,123932328.0
2024-08-01,4,Cognac & Brandy,123929416.0
2024-09-01,4,Cognac & Brandy,76780280.0
2024-10-01,4,Cognac & Brandy,112003768.0
2024-11-01,4,Cognac & Brandy,108122824.0
2024-12-01,4,Cognac & Brandy,104687032.0
2025-01-01,4,Cognac & Brandy,88960608.0
2025-02-01,4,Cognac & Brandy,122674392.0
2023-09-01,5,Vodka,91518760.0
2023-10-01,5,Vodka,92917920.0
2023-11-01,5,Vodka,94208880.0
2023-12-01,5,Vodka,90934624.0
2024-01-01,5,Vodka,99629088.0
2024-02-01,5,Vodka,107086432.0
2024-03-01,5,Vodka,89566032.0
2024-04-01,5,Vodka,90294296.0
2024-05-01,5,Vodka,106125952.0
2024-06-01,5,Vodka,111316280.0
2024-07-01,5,Vodka,112883776.0
2024-08-01,5,Vodka,115618176.0
2024-09-01,5,Vodka,105871088.0
2024-10-01,5,Vodka,107243600.0
2024-11-01,5,Vodka,98341400.0
2024-12-01,5,Vodka,95959424.0
2025-01-01,5,Vodka,105509592.0
2025-02-01,5,Vodka,106872512.0
